degree_code,degree_name
0,NA
11,agriculture
13,environment and natural resources
14,architecture
15,"area, ethnic, and civilization studies"
19,communications
20,communication technologies
21,computer and information sciences
22,cosmetology services and culinary arts
23,education administration and teaching
24,engineering
25,engineering technologies
26,linguistics and foreign languages
29,family and consumer sciences
32,law
33,"english language, literature, and composition"
34,liberal arts and humanities
35,library science
36,biology and life sciences
37,mathematics and statistics
38,military technologies
40,interdisciplinary and multi-disciplinary studies (general)
41,"physical fitness, parks, recreation, and leisure"
48,philosophy and religious studies
49,theology and religious vocations
50,physical sciences
51,"nuclear, industrial radiology, and biological technologies"
52,psychology
53,criminal justice and fire protection
54,"public affairs, policy, and social work"
55,social sciences
56,construction services
57,electrical and mechanic repairs and technologies
58,precision production and industrial arts
59,transportation sciences and technologies
60,fine arts
61,medical and health sciences and services
62,business
64,history
